Region,Product,UnitOfMeasure,UnitPrice,Category,Notes,SKU_ID,Price
us-central1,VM state: preserved local SSD in Americas,gibibyte month,0.0634,CPU,"No SKUs match the filter，
參考https://cloud.google.com/compute/disks-image-pricing#localssdpricing，手動換算By月計算",not found,-1
us-central1,C2D AMD Instance Ram running in Americas,gibibyte hour,0.003959,CPU,,skus/C79B-C925-A9B9,0.003959
us-central1,C2D AMD Instance Core running in Americas,hour,0.029563,CPU,,skus/5E86-72F2-5688,0.029563
us-central1,C3D Instance Core running in Americas,hour,0.029563,CPU,,skus/CEE0-1AE0-3422,0.029563
us-central1,C3D Instance Ram running in Americas,gibibyte hour,0.003959,CPU,,skus/79E9-0431-3CD3,0.003959
us-central1,Spot Preemptible C2D AMD Instance Ram running in Americas,gibibyte hour,0.000987,CPU,000987 USD per 1 gibibyte hour (2024/09/09),skus/9BFD-9B1F-9AC4,0.000987
us-central1,Spot Preemptible C2D AMD Instance Core running in Americas,hour,0.00736,CPU,0.00736 USD per 1 hour (2024/09/09),skus/CD98-F792-88FF,0.00736
us-west4,Spot Preemptible C2D AMD Instance Core running in Las Vegas,hour,0.00846,CPU,0.00846 USD per 1 hour,skus/6937-DCD1-187C,0.00846
us-west4,Spot Preemptible C2D AMD Instance Ram running in Las Vegas,gibibyte hour,0.001133,CPU,0.001133 USD per 1 gibibyte hour,skus/0339-0445-8F8F,0.001133
asia-southeast1,Spot Preemptible N2D AMD Instance Ram running in Singapore,gibibyte hour,0.001118,CPU,0.00095 USD per 1 gibibyte hour,skus/47EB-17A0-C7B4,0.000808
us-west4,Spot Preemptible N2D AMD Instance Core running in Las Vegas,hour,0.00903,CPU,0.00903 USD per 1 hour,skus/0586-DB99-41A8,0.00858
us-west2,Spot Preemptible N2D AMD Instance Core running in Los Angeles,hour,0.00882,CPU,0.00882 USD per 1 hour,skus/B07E-8B43-5335,0.00926
us-west3,Spot Preemptible N2D AMD Instance Core running in Salt Lake City,hour,0.00764,CPU,0.00764 USD per 1 hour,skus/93A5-5568-F3ED,0.00764
asia-southeast1,Spot Preemptible N2D AMD Instance Core running in Singapore,hour,0.00836,CPU,,skus/48EB-F1F3-223B,0.00604
us-west4,Spot Preemptible N2D AMD Instance Ram running in Las Vegas,gibibyte hour,0.00121,CPU,0.00121 USD per 1 gibibyte hour,skus/4280-873C-E4DA,0.00115
